,ID,Player,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG
0,1,Patrick van Aanholt,2020-2021,213,17743,200,13,20,15,19,1,156,59,28.8,21.7,10,4595,77.8,96,17,550,3326,16997,233,127,54,133,74,55.6,173,134,113,53,7,29,222,247,7,43,48.3,21,0,103,52,24,1,690,0,0,,0,,DF,"Chelsea,Crystal Palace,Sunderland,Wigan Athletic",0,0,0,0,0,0,0,0,0,
1,2,Max Aarons,2024-2025,93,7444,82,11,0,4,0,0,29,6,20.7,18.9,0,2939,76.9,50,23,246,2617,16638,193,106,62,203,96,47.3,143,95,103,32,8,54,74,220,2,40,26.7,16,0,68,129,6,1,414,0,0,,0,,DF,"Bournemouth,Norwich City",0,0,0,0,0,0,0,0,0,
2,3,Rolando Aarons,2017-2018,18,652,4,14,2,1,2,0,2,2,0.0,19.9,0,29,65.9,0,1,3,37,380,7,4,6,6,4,66.7,4,4,3,1,0,0,1,0,0,1,25.0,2,0,11,3,1,0,9,0,0,,0,,MF,Newcastle Utd,0,0,0,0,0,0,0,0,0,
3,4,Brenden Aaronson,2022-2023,36,2372,28,8,1,3,1,0,41,9,22.0,18.4,2,592,74.3,46,4,86,686,3646,43,71,82,100,34,34.0,45,18,16,22,7,3,5,6,1,8,17.0,2,0,16,55,6,0,128,0,0,,0,,"MF,FW",Leeds United,0,0,0,0,0,0,0,0,0,
4,5,George Abbott,2022-2023,1,1,0,1,0,0,0,0,0,0,,,0,1,100.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,MF,Tottenham,0,0,0,0,0,0,0,0,0,
5,6,Tammy Abraham,2021-2022,89,5036,52,37,26,5,26,0,162,61,37.7,11.8,0,630,66.8,42,3,65,792,3992,62,157,100,100,49,49.0,25,17,6,15,4,3,12,55,0,166,45.5,2,0,56,63,36,1,118,0,0,,0,,FW,"Chelsea,Swansea City",0,0,0,0,0,0,0,1,0,
6,7,Joshua Acheampong,2024-2025,3,166,2,1,0,0,0,0,2,0,0.0,8.9,0,93,82.3,0,0,7,97,668,0,2,0,2,1,50.0,2,1,2,0,0,3,1,2,0,1,12.5,0,0,0,1,0,0,8,0,0,,0,,DF,Chelsea,0,0,0,0,0,0,0,0,0,
7,8,Charlie Adam,2017-2018,207,13212,152,55,34,25,23,11,49,124,26.5,31.5,3,168,58.9,6,4,30,206,960,6,7,5,12,12,100.0,9,22,2,5,2,0,33,11,2,7,63.6,52,4,327,34,0,0,40,0,0,,0,,MF,"Blackpool,Liverpool,Stoke City",0,0,0,0,0,0,0,0,0,
8,9,Che Adams,2022-2023,124,7809,88,36,25,13,25,0,187,78,41.7,13.9,0,1227,66.1,100,3,140,1548,7045,88,253,127,144,83,57.6,61,39,17,33,11,9,18,69,1,216,35.0,2,0,114,138,50,0,258,0,0,,0,,FW,Southampton,0,0,0,0,0,0,0,0,0,
9,10,Tyler Adams,2024-2025,40,3053,33,7,0,3,0,0,9,1,11.1,21.7,0,1461,82.9,33,0,176,1091,4555,28,42,25,30,9,30.0,134,78,59,61,14,11,62,54,0,40,61.5,10,1,55,32,1,0,245,0,0,,0,,MF,"Bournemouth,Leeds United",0,0,0,0,0,0,0,0,0,
10,11,Tosin Adarabioyo,2024-2025,89,7388,82,7,4,0,4,0,54,16,29.6,14.6,1,4347,85.4,14,0,252,3433,16613,32,21,13,30,23,76.7,100,52,77,20,3,51,96,446,3,216,67.5,9,0,47,18,6,1,320,0,0,,0,,DF,"Chelsea,Fulham,Manchester City",0,0,0,0,0,0,0,0,0,
11,12,Elijah Adebayo,2023-2024,27,1419,16,11,10,0,10,0,31,14,45.2,9.6,0,144,70.6,14,0,23,265,1516,16,62,34,67,18,26.9,4,1,1,0,3,2,6,25,0,43,50.0,1,0,27,16,13,0,34,0,0,,0,,FW,Luton Town,0,0,0,0,0,0,0,0,0,
12,13,Simon Adingra,2024-2025,46,2775,31,15,8,2,8,0,65,26,40.0,15.7,0,778,75.4,40,13,58,963,6336,131,73,34,152,62,40.8,58,26,29,16,13,1,25,25,0,11,45.8,3,0,38,19,17,0,148,0,0,,0,,"FW,MF",Brighton,0,0,0,0,0,0,0,0,0,
13,14,Adrián,2023-2024,139,12367,137,2,0,0,0,0,0,0,,,0,582,59.3,0,0,0,529,3377,0,0,0,0,0,,3,2,3,0,0,0,0,26,5,7,87.5,10,2,1,7,0,0,27,186,455,71.4,38,27.7,GK,"Liverpool,West Ham",0,0,0,0,0,0,0,0,1,
14,15,Ibrahim Afellay,2017-2018,49,2652,28,21,2,2,2,0,6,9,16.7,,0,72,87.8,0,0,4,61,214,0,1,3,1,1,100.0,3,5,0,3,0,0,6,1,0,0,,4,1,23,7,2,0,15,0,0,,0,,"FW,MF",Stoke City,0,0,0,0,0,0,0,1,0,
15,16,Benik Afobe,2017-2018,63,3002,31,32,10,3,10,0,47,26,44.7,8.6,0,113,73.4,2,0,9,138,820,12,28,5,9,7,77.8,4,12,1,2,1,0,6,6,0,22,36.7,1,0,46,26,18,0,17,0,0,,0,,FW,Bournemouth,0,0,0,0,0,0,0,0,0,
16,17,Emmanuel Agbadou,2024-2025,3,270,3,0,0,0,0,0,1,0,0.0,29.4,0,128,75.3,0,0,5,112,594,1,2,1,6,5,83.3,13,8,9,4,0,1,3,16,0,7,63.6,1,0,0,1,1,0,23,0,0,,0,,DF,Wolves,0,0,0,0,0,0,0,0,0,
17,18,Asher Agbinone,2024-2025,2,6,0,2,0,0,0,0,1,0,0.0,26.3,0,2,66.7,1,0,0,5,53,2,0,1,2,0,0.0,2,1,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,,MF,Crystal Palace,0,0,0,0,0,0,0,0,0,
18,19,Nayef Aguerd,2023-2024,39,3452,38,1,3,0,3,0,26,5,19.2,10.4,0,1542,79.5,10,0,93,1384,6338,12,18,9,11,7,63.6,53,32,37,15,1,48,35,164,4,80,55.9,7,1,18,14,2,0,207,0,0,,0,,DF,West Ham,0,0,0,0,0,0,0,0,0,
19,20,Sergio Agüero,2020-2021,275,19771,235,40,184,48,157,27,435,418,38.4,14.3,4,1616,81.5,99,1,171,1994,11564,217,179,138,210,133,63.3,37,34,3,22,12,3,24,8,0,32,36.0,24,1,166,92,72,0,178,0,0,,0,,FW,Manchester City,0,1,0,0,0,0,0,0,5,
