,ID,Player,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,MVP,ROY,DPOY,All_NBA,Champ,IG
0,1,Precious Achiuwa,2024-25,285,63,0,5641,870,1801,754,1425,116,376,303,502,550,1069,1619,280,149,185,286,519,2159,0.483,0.529,0.309,0.604,0.534,0.515,F,"MIA,NYK,TOR",0,0,0,0,0,192992.0
1,2,Steven Adams,2024-25,734,641,0,19249,2744,4671,2743,4656,1,15,1106,2076,2664,3255,5919,1109,631,685,1056,1775,6595,0.587,0.589,0.067,0.533,0.59,0.588,C,"HOU,MEM,NOP,OKC",0,0,0,0,0,587129.0
2,3,Bam Adebayo,2024-25,529,425,3,16031,3130,5809,3079,5604,51,205,1830,2431,1175,3488,4663,1891,568,468,1141,1289,8141,0.539,0.549,0.249,0.753,0.592,0.543,C-F,MIA,0,0,0,0,0,1087179.0
3,4,Ochai Agbaji,2024-25,176,83,0,3977,510,1148,305,555,205,593,112,153,153,331,484,217,94,80,135,299,1337,0.444,0.55,0.346,0.732,0.55,0.534,G,"TOR,UTA",0,0,0,0,0,135557.0
4,5,Santi Aldama,2024-25,206,66,0,4571,734,1594,463,810,271,784,223,319,247,819,1066,355,126,129,186,303,1962,0.46,0.572,0.346,0.699,0.566,0.545,F,MEM,0,0,0,0,0,67740.0
5,6,Trey Alexander,2024-25,14,0,0,62,4,18,2,9,2,9,2,2,0,4,4,6,1,1,1,5,12,0.222,0.222,0.222,1.0,0.318,0.278,G,DEN,0,0,0,0,0,21494.0
6,7,Ty-Shon Alexander,2020-21,15,0,0,47,3,12,1,3,2,9,1,2,2,8,10,6,0,1,3,2,9,0.25,0.333,0.222,0.5,0.349,0.333,G,PHO,0,0,0,0,0,0.0
7,8,Nickeil Alexander-Walker,2024-25,341,60,0,6825,1037,2515,551,1168,486,1347,278,383,130,667,797,759,234,129,399,546,2838,0.412,0.472,0.361,0.726,0.529,0.509,G,"MIN,NOP,UTA",0,0,0,0,0,161161.0
8,9,Rawle Alkins,2018-19,10,1,0,120,13,39,10,27,3,12,8,12,11,15,26,13,1,0,8,7,37,0.333,0.37,0.25,0.667,0.418,0.372,G,CHI,0,0,0,0,0,0.0
9,10,Grayson Allen,2024-25,371,246,0,9459,1309,2900,525,1004,784,1896,523,605,189,934,1123,733,269,102,359,589,3925,0.451,0.523,0.414,0.864,0.62,0.587,G,"MEM,MIL,PHO,UTA",0,0,0,0,0,374744.0
10,11,Jarrett Allen,2024-25,527,462,1,14910,2696,4235,2677,4123,19,112,1352,1896,1507,3342,4849,868,333,668,712,1042,6763,0.637,0.649,0.17,0.713,0.667,0.639,C-F,"BRK,CLE",0,0,0,0,0,274250.0
11,12,Timmy Allen,2023-24,5,0,0,125,6,23,6,16,0,7,1,2,4,13,17,5,4,0,2,18,13,0.261,0.375,0.0,0.5,0.272,0.261,F,MEM,0,0,0,0,0,0.0
12,13,Jose Alvarado,2024-25,191,18,0,3615,542,1298,303,624,239,674,157,211,89,321,410,537,226,37,183,330,1480,0.418,0.486,0.355,0.744,0.532,0.51,G,NOP,0,0,0,0,0,23997.0
13,14,Justin Anderson,2021-22,242,30,0,3280,454,1106,295,561,159,545,217,280,141,480,621,184,105,80,141,291,1284,0.41,0.526,0.292,0.775,0.522,0.482,G,"ATL,BRK,CLE,DAL,IND,PHI",0,0,0,0,0,0.0
14,15,Kyle Anderson,2024-25,686,307,0,14825,1838,3851,1553,3013,285,838,735,1031,525,2439,2964,1910,685,426,695,1064,4696,0.477,0.515,0.34,0.713,0.545,0.514,F-G,"GSW,MEM,MIA,MIN,SAS",0,0,0,0,0,183692.0
15,16,Giannis Antetokounmpo,2024-25,827,762,8,27166,7171,13075,6639,11204,532,1871,4730,6802,1529,6622,8151,4066,930,1034,2504,2459,19604,0.548,0.593,0.284,0.695,0.61,0.569,F-G,MIL,2,0,1,8,1,15993792.0
16,17,Kostas Antetokounmpo,2020-21,22,0,0,87,6,16,6,16,0,0,9,19,6,17,23,3,4,4,13,10,21,0.375,0.375,,0.474,0.431,0.375,F,"DAL,LAL",0,0,0,0,1,988000.0
17,18,Thanasis Antetokounmpo,2023-24,198,11,0,1520,200,393,191,330,9,63,72,136,128,179,307,115,55,31,107,208,481,0.509,0.579,0.143,0.529,0.531,0.52,F,"MIL,NYK",0,0,0,0,1,1300000.0
18,19,Cole Anthony,2024-25,294,111,0,7367,1313,3153,918,1987,395,1166,709,840,206,1078,1284,1143,201,114,557,683,3730,0.416,0.462,0.339,0.844,0.529,0.479,G,ORL,0,0,0,0,0,666360.0
19,20,OG Anunoby,2024-25,461,387,0,13723,2154,4547,1375,2456,779,2091,604,804,506,1485,1991,751,585,262,608,1103,5691,0.474,0.56,0.373,0.751,0.581,0.559,F,"NYK,TOR",0,0,0,0,1,292839.0
20,21,Ryan Arcidiacono,2023-24,257,40,0,3938,358,851,177,360,181,491,134,166,53,399,452,487,122,7,135,359,1031,0.421,0.492,0.369,0.807,0.558,0.527,G,"CHI,NYK,POR",0,0,0,0,0,0.0
21,22,Deni Avdija,2024-25,326,176,0,8618,1227,2680,877,1622,350,1058,573,768,283,1683,1966,854,256,148,498,809,3377,0.458,0.541,0.331,0.746,0.559,0.523,G-F,"POR,WAS",0,0,0,0,0,245950.0
22,23,Joel Ayayi,2021-22,7,0,0,20,1,6,1,5,0,1,0,0,1,2,3,4,0,0,0,0,2,0.167,0.2,0.0,,0.167,0.167,G,WAS,0,0,0,0,0,0.0
23,24,Deandre Ayton,2024-25,389,382,0,11991,2837,4810,2809,4691,28,119,684,905,1184,2888,4072,630,284,372,672,1030,6386,0.59,0.599,0.235,0.756,0.613,0.593,C,"PHO,POR",0,0,0,0,0,449608.0
24,25,Udoka Azubuike,2023-24,84,10,0,724,116,153,116,153,0,0,24,54,64,171,235,14,9,36,37,85,256,0.758,0.758,,0.444,0.724,0.758,C,"PHO,UTA",0,0,0,0,0,0.0
25,26,Ibou Badji,2023-24,22,1,0,226,14,22,14,22,0,0,6,12,20,31,51,13,3,20,15,46,34,0.636,0.636,,0.5,0.623,0.636,C,POR,0,0,0,0,0,0.0
26,27,Marvin Bagley III,2024-25,277,128,0,6375,1385,2670,1261,2248,124,422,542,785,653,1208,1861,249,128,178,330,530,3436,0.519,0.561,0.294,0.69,0.57,0.542,F-C,"DET,MEM,SAC,WAS",0,0,0,0,0,496601.0
27,28,Amari Bailey,2023-24,10,0,0,65,8,24,7,16,1,8,6,7,6,3,9,7,3,0,4,2,23,0.333,0.438,0.125,0.857,0.425,0.354,G,CHO,0,0,0,0,0,0.0
28,29,Patrick Baldwin Jr.,2024-25,88,7,0,798,117,291,45,93,72,198,25,38,22,156,178,41,26,21,33,75,331,0.402,0.484,0.364,0.658,0.538,0.526,G-F,"GSW,WAS",0,0,0,0,0,0.0
29,30,LaMelo Ball,2024-25,211,191,1,6791,1586,3724,945,1970,641,1754,658,788,268,1022,1290,1567,324,72,708,667,4471,0.426,0.48,0.365,0.835,0.549,0.512,G,CHO,0,1,0,0,0,10385889.0
30,31,Lonzo Ball,2024-25,274,240,0,8631,1165,2918,533,1178,632,1740,175,299,274,1246,1520,1645,425,174,662,581,3137,0.399,0.452,0.363,0.585,0.514,0.508,G,"CHI,LAL,NOP",0,0,0,0,0,18210688.0
31,32,Mo Bamba,2024-25,356,99,0,6002,939,1971,653,1166,286,805,259,381,544,1395,1939,302,132,451,283,733,2423,0.476,0.56,0.355,0.68,0.566,0.549,C,"LAC,LAL,ORL,PHI",0,0,0,0,0,694000.0
32,33,Paolo Banchero,2024-25,162,162,1,5549,1203,2711,980,2022,223,689,864,1188,183,943,1126,748,138,94,477,333,3493,0.444,0.485,0.324,0.727,0.54,0.485,F,ORL,0,1,0,0,0,1130522.0
33,34,Desmond Bane,2024-25,277,225,0,8040,1766,3752,1047,1999,719,1753,574,655,183,1023,1206,982,276,104,493,674,4825,0.471,0.524,0.41,0.876,0.597,0.566,G,MEM,0,0,0,0,0,247272.0
34,35,Dalano Banton,2024-25,182,12,0,2549,445,1089,318,680,127,409,182,254,101,314,415,339,101,59,193,198,1199,0.409,0.468,0.311,0.717,0.499,0.467,G-F,"BOS,POR,TOR",0,0,0,0,1,70661.0
35,36,Cat Barber,2021-22,3,0,0,13,0,4,0,4,0,0,0,4,1,2,3,3,0,0,1,1,0,0.0,0.0,,0.0,0.0,0.0,G,ATL,0,0,0,0,0,0.0
36,37,Dominick Barlow,2024-25,68,1,0,858,104,206,100,191,4,15,48,69,91,128,219,61,23,33,24,105,260,0.505,0.524,0.267,0.696,0.55,0.515,F,"ATL,SAS",0,0,0,0,0,17017.0
37,38,Harrison Barnes,2024-25,952,891,0,29953,4673,10219,3330,6689,1343,3530,2564,3166,975,3613,4588,1673,645,171,1098,1425,13253,0.457,0.498,0.38,0.81,0.571,0.523,F,"DAL,GSW,SAC,SAS",0,0,0,0,1,960675.0
38,39,Scottie Barnes,2024-25,240,239,1,8397,1593,3374,1330,2510,263,864,633,834,563,1231,1794,1181,281,231,554,544,4082,0.472,0.53,0.304,0.759,0.546,0.511,G-F,TOR,0,1,0,0,0,725363.0
39,40,RJ Barrett,2024-25,363,362,0,12089,2474,5648,1876,3909,598,1739,1285,1815,332,1678,2010,1167,239,103,814,846,6831,0.438,0.48,0.344,0.708,0.53,0.491,G-F,"NYK,TOR",0,0,0,0,0,1000000.0
40,41,Paris Bass,2021-22,2,0,0,7,2,6,2,4,0,2,2,2,2,2,4,0,1,0,2,2,6,0.333,0.5,0.0,1.0,0.436,0.333,F,PHO,0,0,0,0,0,0.0
41,42,Charles Bassey,2024-25,106,2,0,1190,204,321,201,308,3,13,54,84,167,292,459,88,41,95,85,179,465,0.636,0.653,0.231,0.643,0.65,0.64,C,"PHI,SAS",0,0,0,0,0,0.0
42,43,Emoni Bates,2023-24,15,0,0,133,15,49,5,16,10,33,1,4,1,13,14,10,1,2,8,5,41,0.306,0.313,0.303,0.25,0.404,0.408,G,CLE,0,0,0,0,0,503000.0
43,44,Keita Bates-Diop,2023-24,283,67,0,4566,634,1337,488,899,146,438,283,377,208,640,848,241,146,99,154,242,1697,0.474,0.543,0.333,0.751,0.565,0.529,F,"BRK,DEN,MIN,PHO,SAS",0,0,0,0,0,42078.0
44,45,Jamison Battle,2024-25,33,0,0,426,65,142,21,36,44,106,12,14,19,43,62,31,4,4,12,36,186,0.458,0.583,0.415,0.857,0.628,0.613,F,TOR,0,0,0,0,0,10309.0
45,46,Nicolas Batum,2024-25,1094,864,0,31995,3936,9022,2238,4388,1698,4634,1513,1820,1073,4297,5370,3522,1003,677,1652,1898,11083,0.436,0.51,0.366,0.831,0.564,0.53,F-G,"CHO,LAC,PHI,POR",0,0,0,0,0,299918.0
46,47,Kent Bazemore,2021-22,657,310,0,13546,1929,4668,1235,2721,694,1947,862,1190,237,1835,2072,1154,658,309,905,1338,5414,0.413,0.454,0.356,0.724,0.521,0.488,G-F,"ATL,GSW,LAL,POR,SAC",0,0,0,0,0,275000.0
47,48,Darius Bazley,2023-24,237,118,0,5536,773,1869,539,1112,234,757,333,492,194,1050,1244,282,138,177,292,230,2113,0.414,0.485,0.309,0.677,0.507,0.476,F,"OKC,PHI,PHO,UTA",0,0,0,0,0,99220.0
48,49,Bradley Beal,2024-25,777,737,3,26813,6199,13378,4524,8917,1675,4461,2789,3398,675,2498,3173,3332,856,332,1895,1745,16862,0.463,0.507,0.375,0.821,0.567,0.526,G,"PHO,WAS",0,0,0,1,0,1325794.0
49,50,Malik Beasley,2024-25,538,202,0,12636,2206,5192,918,1856,1288,3336,378,483,225,1298,1523,727,351,64,437,715,6078,0.425,0.495,0.386,0.783,0.562,0.549,G,"DEN,DET,LAL,MIL,MIN,UTA",0,0,0,0,0,216949.0
50,51,MarJon Beauchamp,2024-25,120,12,0,1397,192,446,110,212,82,234,54,75,64,171,235,68,36,15,84,130,520,0.43,0.519,0.35,0.72,0.543,0.522,G,"LAC,MIL",0,0,0,0,0,216551.0
51,52,Reece Beekman,2024-25,15,0,0,138,14,36,10,23,4,13,4,7,2,7,9,18,7,2,8,5,36,0.389,0.435,0.308,0.571,0.461,0.444,G,"BRK,GSW",0,0,0,0,0,20802.0
52,53,Jordan Bell,2021-22,161,17,0,1937,257,466,253,446,4,20,75,118,153,344,497,201,62,122,118,200,593,0.552,0.567,0.2,0.636,0.572,0.556,F,"CHI,GSW,MEM,MIN,WAS",0,0,0,0,1,0.0
53,54,DeAndre' Bembry,2021-22,296,55,0,5670,720,1519,614,1144,106,375,204,334,185,765,950,533,291,120,367,533,1750,0.474,0.537,0.283,0.611,0.525,0.509,F,"ATL,BRK,MIL,TOR",0,0,0,0,0,0.0
54,55,Jules Bernard,2023-24,19,0,0,149,29,64,18,35,11,29,5,9,10,16,26,16,3,1,8,14,74,0.453,0.514,0.379,0.556,0.544,0.539,F,WAS,0,0,0,0,0,0.0
55,56,Dāvis Bertāns,2023-24,475,41,0,8546,1186,2810,301,576,885,2234,404,468,147,1012,1159,448,205,167,250,770,3661,0.422,0.523,0.396,0.863,0.607,0.58,F,"CHO,DAL,OKC,SAS,WAS",0,0,0,0,0,0.0
