,ID,Player,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG
0,1,Israel Abanikanda,2023,6,0,0,0,,0,0,0,,0,,0,22,70,3.2,0,11.7,11,7,43,6.1,0,7.2,0,,0,0,0,9.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,144,31,RB,NYJ,0,0,0,0,0,0,0,
1,2,Ameer Abdullah,2024,141,26,0,0,,0,0,0,,0,,0,494,1994,4.0,8,14.1,268,203,1468,7.2,11,10.4,0,,0,0,114,448.2,0.0,25,9,0,0,0,0,0,11,3,0,0,0,,0,7336,3874,RB,"CAR,DET,LVR,MIN",0,0,0,0,0,0,0,
2,3,Yasir Abdullah,2024,19,3,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,15,4,0,2,0,0,0,0,0,0,0,0,,0,0,0,LB,JAX,0,0,0,0,0,0,0,
3,4,Micah Abernathy,2024,20,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,5,6,0,0,0,0,0,0,0,0,0,0,,0,0,0,S,"ATL,GNB",0,0,0,0,0,0,0,
4,5,Johnathan Abram,2024,55,39,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,191,120,9,9,5,0,17,0,2,0,1,0,,0,65,0,S,"GNB,LVR,NOR,OAK,SEA",0,0,0,0,0,0,0,
5,6,Kris Abrams-Draine,2024,5,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,5,4,0,0,1,0,2,0,0,0,0,0,,0,17,0,CB,DEN,0,0,0,0,0,0,0,
6,7,De'Von Achane,2024,28,20,0,0,,0,0,0,,1,,0,306,1707,5.6,14,61.0,124,105,789,7.5,9,28.2,0,,0,0,138,385.6,0.0,0,0,0,0,0,0,0,2,0,0,0,0,,0,2528,32,RB,MIA,0,0,0,0,0,0,0,
7,8,Andrew Adams,2023,103,46,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,6,0.0,0.0,196,56,6,5,8,1,26,0,0,0,2,0,,0,167,0,S,"BAL,NYG,TAM,TEN",0,0,0,0,0,0,1,
8,9,Davante Adams,2024,164,157,0,0,,0,0,0,,1,,0,3,-1,-0.3,0,0.0,1508,957,11844,12.4,103,72.2,0,,5,0,628,1806.3,0.0,2,1,0,0,0,0,0,6,1,0,0,0,,0,11843,0,WR,"GNB,LVR,NYJ",0,0,0,0,0,3,0,
9,10,Isaiah Adams,2024,15,5,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,OL,ARI,0,0,0,0,0,0,0,
10,11,Jamal Adams,2024,85,83,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,12,0.0,21.5,366,135,50,42,4,1,36,0,4,1,7,0,,0,129,0,SS,"DET,NYJ,SEA,TEN",0,0,0,0,0,0,0,
11,12,Matthew Adams,2024,98,13,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,71,31,8,2,0,0,0,0,2,0,2,0,,0,0,0,LB,"CHI,CLE,IND,NYG",0,0,0,0,0,0,0,
12,13,Montravius Adams,2024,96,25,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.5,61,62,11,10,0,0,7,0,1,0,2,0,,0,0,0,DT,"GNB,NOR,PIT",0,0,0,0,0,0,0,
13,14,Myles Adams,2024,30,1,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.0,12,22,3,5,0,0,1,0,0,0,0,0,,0,0,0,DT,"DET,SEA",0,0,0,0,0,0,0,
14,15,Tony Adams,2024,41,27,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,1.0,106,77,8,2,4,0,11,0,0,0,0,0,,0,50,0,S,NYJ,0,0,0,0,0,0,0,
15,16,Tucker Addington,2024,10,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,LS,"MIA,NWE,WAS",0,0,0,0,0,0,0,
16,17,Jordan Addison,2024,32,29,0,0,,0,0,0,,0,,0,4,22,5.5,1,0.7,207,133,1786,13.4,19,55.8,0,,0,0,120,300.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1802,0,WR,MIN,0,0,0,0,0,0,0,
17,18,Adetomiwa Adebawore,2024,26,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,2.5,9,3,4,6,0,0,0,0,0,0,0,0,,0,0,0,DE,IND,0,0,0,0,0,0,0,
18,19,Paulson Adebo,2024,52,51,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,209,45,7,1,10,0,43,0,2,0,2,0,,0,150,0,CB,NOR,0,0,0,0,0,0,0,
19,20,Hakeem Adeniji,2023,43,15,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,T,"CIN,MIN",0,0,0,0,0,0,0,
20,21,Nate Adkins,2024,27,11,0,0,,0,0,0,,0,,0,0,0,,0,0.0,20,18,137,7.6,3,5.1,0,,0,0,18,31.7,0.0,2,4,0,0,0,0,0,0,0,0,0,0,,0,137,0,TE,DEN,0,0,0,0,0,0,0,
21,22,Cal Adomitis,2024,49,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,LS,CIN,0,0,0,0,0,0,0,
22,23,Nelson Agholor,2024,149,105,1,1,100.0,15,0,0,118.7,0,,0,14,71,5.1,0,0.5,647,389,4858,12.5,37,32.6,0,,2,0,232,717.5,0.0,1,0,0,0,0,0,0,8,3,1,0,0,,0,5028,99,WR,"BAL,LVR,NWE,PHI",0,0,0,0,0,0,1,
23,24,McTelvin Agim,2023,18,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,1.5,4,10,1,4,0,0,2,0,0,0,0,0,,0,0,0,DT,"DEN,IND",0,0,0,0,0,0,0,
24,25,Jamal Agnew,2023,82,5,0,1,0.0,0,0,0,39.6,0,,0,33,263,8.0,1,3.2,114,77,746,9.7,5,9.1,0,,1,0,80,168.9,0.0,29,2,1,0,0,0,1,9,5,0,1,0,,0,5401,4392,WR,"DET,JAX",0,0,0,0,0,0,0,
25,26,Mitchell Agude,2024,4,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,LB,DET,0,0,0,0,0,0,0,
26,27,Salvon Ahmed,2023,38,4,0,0,,0,0,0,,0,,0,163,593,3.6,5,15.6,57,40,274,6.9,1,7.2,0,,1,0,38,124.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,867,0,RB,MIA,0,0,0,0,0,0,0,
27,28,Brandon Aiyuk,2024,69,67,0,0,,0,0,0,,0,,0,13,117,9.0,2,1.7,446,294,4305,14.6,25,62.4,0,,1,0,164,600.2,0.0,3,0,0,0,0,0,0,4,3,0,0,0,,0,4657,234,WR,SFO,0,0,0,0,0,0,0,
28,29,Cam Akers,2024,53,17,0,0,,0,0,0,,1,,0,502,2025,4.0,13,38.2,65,52,388,7.5,4,7.3,0,,0,0,102,335.3,0.0,0,0,0,0,0,0,0,4,0,0,0,0,,0,2489,76,RB,"HOU,LAR,MIN",0,0,0,0,0,0,1,
29,30,Alex Akingbulu,2023,2,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,0,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,T,WAS,0,0,0,0,0,0,0,
