,Team,Player,Pageviews
0,Arsenal,William Saliba,859902.0
1,Arsenal,Kieran Tierney,520401.0
2,Arsenal,Ben White,613154.0
3,Arsenal,Thomas Partey,372233.0
4,Arsenal,Gabriel Magalhães,495757.0
5,Arsenal,Bukayo Saka,2105898.0
6,Arsenal,Martin Ødegaard ,1001717.0
7,Arsenal,Gabriel Jesus,595739.0
8,Arsenal,Gabriel Martinelli,503358.0
9,Arsenal,Jurriën Timber,441775.0
10,Arsenal,Jakub Kiwior,281755.0
11,Arsenal,Oleksandr Zinchenko,332784.0
12,Arsenal,Takehiro Tomiyasu,253502.0
13,Arsenal,Leandro Trossard,694337.0
14,Arsenal,Jorginho,722192.0
15,Arsenal,David Raya,851970.0
16,Arsenal,Mikel Merino,1041555.0
17,Arsenal,Kai Havertz,1372313.0
18,Arsenal,Raheem Sterling ,1804849.0
19,Arsenal,Neto ,262547.0
20,Arsenal,Riccardo Calafiori,1146947.0
21,Arsenal,Declan Rice,1676245.0
22,Aston Villa,Matty Cash,292732.0
23,Aston Villa,Axel Disasi ,295673.0
24,Aston Villa,Ezri Konsa,514062.0
25,Aston Villa,Tyrone Mings,200967.0
26,Aston Villa,Ross Barkley,821913.0
27,Aston Villa,John McGinn ,376183.0
28,Aston Villa,Youri Tielemans,322093.0
29,Aston Villa,Marcus Rashford ,1651729.0
30,Aston Villa,Ollie Watkins,1759055.0
31,Aston Villa,Lucas Digne,207235.0
32,Aston Villa,Pau Torres,157122.0
33,Aston Villa,Andrés García,1382.0
34,Aston Villa,Donyell Malen,395347.0
35,Aston Villa,Marco Asensio ,403015.0
36,Aston Villa,Ian Maatsen,617634.0
37,Aston Villa,Emiliano Martínez ,1153049.0
38,Aston Villa,Amadou Onana,777513.0
39,Aston Villa,Robin Olsen,88158.0
40,Aston Villa,Lamare Bogarde,85520.0
41,Aston Villa,Morgan Rogers,933013.0
42,Aston Villa,Kortney Hause,61715.0
43,Aston Villa,Leon Bailey,310681.0
44,Aston Villa,Jacob Ramsey,133115.0
45,Aston Villa,Boubacar Kamara,120399.0
46,Bournemouth,Dean Huijsen,398688.0
47,Bournemouth,Milos Kerkez,242832.0
48,Bournemouth,Lewis Cook ,80667.0
49,Bournemouth,Marcos Senesi,72679.0
50,Bournemouth,David Brooks,190667.0
51,Bournemouth,Alex Scott,104820.0
52,Bournemouth,Evanilson,288802.0
53,Bournemouth,Ryan Christie,132218.0
54,Bournemouth,Dango Ouattara,59819.0
55,Bournemouth,Tyler Adams,285038.0
56,Bournemouth,Kepa Arrizabalaga ,755220.0
57,Bournemouth,Adam Smith ,64870.0
58,Bournemouth,Marcus Tavernier,157838.0
59,Bournemouth,Luis Sinisterra,139836.0
60,Bournemouth,Justin Kluivert,441321.0
61,Bournemouth,Julio Soler,26520.0
62,Bournemouth,Daniel Jebbison,100334.0
63,Bournemouth,Julián Araujo,247123.0
64,Bournemouth,James Hill,35949.0
65,Bournemouth,Antoine Semenyo,291843.0
66,Bournemouth,Enes Ünal,184122.0
67,Bournemouth,Illya Zabarnyi,82404.0
68,Bournemouth,Owen Bevan,17521.0
69,Bournemouth,Will Dennis,20377.0
70,Bournemouth,Zain Silcott-Duberry,6246.0
71,Bournemouth,Daniel Adu-Adjei,12714.0
72,Bournemouth,Matai Akinmboni,11148.0
73,Bournemouth,Callan McKenna,15628.0
74,Bournemouth,Ben Winterburn,332.0
75,Bournemouth,Max Kinsey,
76,Bournemouth,Dominic Sadi,9000.0
77,Bournemouth,Remy Rees-Dottin,
78,Brighton & Hove Albion,Bart Verbruggen,265398.0
79,Brighton & Hove Albion,Tariq Lamptey,135067.0
80,Brighton & Hove Albion,Igor Julio,59694.0
81,Brighton & Hove Albion,Adam Webster,52925.0
82,Brighton & Hove Albion,Lewis Dunk ,253593.0
83,Brighton & Hove Albion,James Milner,851805.0
84,Brighton & Hove Albion,Solly March,92066.0
85,Brighton & Hove Albion,Brajan Gruda,137099.0
86,Brighton & Hove Albion,João Pedro,352491.0
87,Brighton & Hove Albion,Simon Adingra,311853.0
88,Brighton & Hove Albion,Georginio Rutter,250027.0
89,Brighton & Hove Albion,Eiran Cashin,33264.0
90,Brighton & Hove Albion,Yankuba Minteh,370641.0
91,Brighton & Hove Albion,Danny Welbeck,816919.0
92,Brighton & Hove Albion,Carlos Baleba,149448.0
93,Brighton & Hove Albion,Kaoru Mitoma,329575.0
94,Brighton & Hove Albion,Jason Steele,125410.0
95,Brighton & Hove Albion,Ferdi Kadıoğlu,315131.0
96,Brighton & Hove Albion,Diego Gómez,101776.0
97,Brighton & Hove Albion,Yasin Ayari,118858.0
98,Brighton & Hove Albion,Mats Wieffer,133719.0
99,Brighton & Hove Albion,Jan Paul van Hecke,113126.0
100,Brighton & Hove Albion,Pervis Estupiñán,119290.0
101,Brighton & Hove Albion,Matt O'Riley,630295.0
102,Brighton & Hove Albion,Joël Veltman,74705.0
103,Brighton & Hove Albion,Tom McGill,58406.0
104,Brighton & Hove Albion,Carl Rushworth,44599.0
105,Brighton & Hove Albion,Jack Hinshelwood,108689.0
106,Burnley,James Trafford,241236.0
107,Burnley,Oliver Sonne,114242.0
108,Burnley,Shurandy Sambo,27539.0
109,Burnley,Joe Worrall,124800.0
110,Burnley,Maxime Estève,45653.0
111,Burnley,CJ Egan-Riley,36770.0
112,Burnley,Jeremy Sarmiento ,239392.0
113,Burnley,Josh Brownhill ,116088.0
114,Burnley,Manuel Benson,68473.0
115,Burnley,Jaidon Anthony ,85692.0
116,Burnley,Bashir Humphreys ,86018.0
117,Burnley,Connor Roberts,118889.0
118,Burnley,Nathan Redmond,85806.0
119,Burnley,Lyle Foster,128849.0
120,Burnley,Zian Flemming ,61445.0
121,Burnley,Etienne Green,34219.0
122,Burnley,Aaron Ramsey,104907.0
123,Burnley,Marcus Edwards ,226435.0
124,Burnley,Lucas Pires,27839.0
125,Burnley,Josh Cullen,85245.0
126,Burnley,Jonjo Shelvey,264906.0
127,Burnley,Hannibal Mejbri,283028.0
128,Burnley,Josh Laurent,30255.0
129,Burnley,Luca Koleosho,101233.0
130,Burnley,Mike Trésor,38620.0
131,Burnley,Václav Hladký,77435.0
