,ID,Player,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,MVP,ROY,DPOY,All_NBA,Champ,IG,Wiki,Wikipedia Title
0,1,Precious Achiuwa,2024-25,285,63,0,5641,870,1801,754,1425,116,376,303,502,550,1069,1619,280,149,185,286,519,2159,0.483,0.529,0.309,0.604,0.534,0.515,F,"MIA,NYK,TOR",0,0,0,0,0,192992,50426,
1,2,Steven Adams,2024-25,734,641,0,19249,2744,4671,2743,4656,1,15,1106,2076,2664,3255,5919,1109,631,685,1056,1775,6595,0.587,0.589,0.067,0.533,0.59,0.588,C,"HOU,MEM,NOP,OKC",0,0,0,0,0,587129,29080,
2,3,Bam Adebayo,2024-25,529,425,3,16031,3130,5809,3079,5604,51,205,1830,2431,1175,3488,4663,1891,568,468,1141,1289,8141,0.539,0.549,0.249,0.753,0.592,0.543,C-F,MIA,0,0,0,0,0,1087179,43787,
3,4,Ochai Agbaji,2024-25,176,83,0,3977,510,1148,305,555,205,593,112,153,153,331,484,217,94,80,135,299,1337,0.444,0.55,0.346,0.732,0.55,0.534,G,"TOR,UTA",0,0,0,0,0,135557,9817,
4,5,Santi Aldama,2024-25,206,66,0,4571,734,1594,463,810,271,784,223,319,247,819,1066,355,126,129,186,303,1962,0.46,0.572,0.346,0.699,0.566,0.545,F,MEM,0,0,0,0,0,67740,9692,
5,6,Trey Alexander,2024-25,14,0,0,62,4,18,2,9,2,9,2,2,0,4,4,6,1,1,1,5,12,0.222,0.222,0.222,1.0,0.318,0.278,G,DEN,0,0,0,0,0,21494,1181,
6,7,Ty-Shon Alexander,2020-21,15,0,0,47,3,12,1,3,2,9,1,2,2,8,10,6,0,1,3,2,9,0.25,0.333,0.222,0.5,0.349,0.333,G,PHO,0,0,0,0,0,0,1130,
7,8,Nickeil Alexander-Walker,2024-25,341,60,0,6825,1037,2515,551,1168,486,1347,278,383,130,667,797,759,234,129,399,546,2838,0.412,0.472,0.361,0.726,0.529,0.509,G,"MIN,NOP,UTA",0,0,0,0,0,161161,16589,
8,9,Rawle Alkins,2018-19,10,1,0,120,13,39,10,27,3,12,8,12,11,15,26,13,1,0,8,7,37,0.333,0.37,0.25,0.667,0.418,0.372,G,CHI,0,0,0,0,0,0,788,
9,10,Grayson Allen,2024-25,371,246,0,9459,1309,2900,525,1004,784,1896,523,605,189,934,1123,733,269,102,359,589,3925,0.451,0.523,0.414,0.864,0.62,0.587,G,"MEM,MIL,PHO,UTA",0,0,0,0,0,374744,74492,
