,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,MP,Min,Start,Sub,Gls,Ast,NPG,PK,Sh,SoT,SoT%,ShDist,FK,PaCmp,PaCmp%,KP,Crs,PrgP,Car,TotDist,PrgC,Mis,Dis,TOnAtt,TOnSucc,TOnSucc%,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Blck,Int,Clr,Err,DuelW,DuelW%,CrdY,CrdR,Fls,Fld,Off,OG,Recov,GA,Sv,Sv%,CS,CS%,Pos,Team_df1,BdOr,GBoot,GGlove,POTY,TOTY,WC,Euro,UCL,Prem,IG,Wiki,Obscurity,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
316,Arsenal,William Saliba,https://en.wikipedia.org/wiki/William_Saliba,,1265,William Saliba,2024-2025,86,7664,86,0,6,2,6,0,19,8,42.1,10.3,0,5727,92.4,16,1,326,4314,19961,38,48,23,38,26,68.4,117,72,77,37,3,34,62,228,10,155,56.8,10,1,60,39,1,1,510,0,0,,0,,DF,Arsenal,0,0,0,0,2,0,0,0,0,,859902.0,70.36618356,William Saliba,William Saliba,100.0,Arsenal,0,1264
357,Arsenal,Kieran Tierney,https://en.wikipedia.org/wiki/Kieran_Tierney,,1419,Kieran Tierney,2024-2025,93,6016,66,27,3,8,3,0,43,12,27.9,22.3,0,2822,75.2,62,35,270,2377,12583,196,60,27,80,40,50.0,85,56,38,36,11,21,51,179,1,44,31.0,6,0,32,55,2,0,303,0,0,,0,,"DF,MF",Arsenal,0,0,0,0,0,0,0,0,0,,520401.0,80.71666676,Kieran Tierney,Kieran Tierney,100.0,Arsenal,1,1418
387,Arsenal,Ben White,https://en.wikipedia.org/wiki/Ben_White_(footballer),,1520,Ben White,2024-2025,152,12809,146,6,6,10,6,0,49,13,26.5,16.0,0,7055,83.8,88,24,744,5482,24885,200,101,40,105,51,48.6,211,114,102,85,24,84,169,337,2,188,54.8,23,1,103,81,14,1,639,0,0,,0,,DF,"Arsenal,Brighton",0,0,0,0,0,0,0,0,0,,613154.0,76.71624056,Ben White,Ben White,100.0,Arsenal,2,1519
285,Arsenal,Thomas Partey,https://en.wikipedia.org/wiki/Thomas_Partey,,1122,Thomas Partey,2024-2025,117,8596,97,20,7,5,7,0,123,24,19.5,22.3,2,5382,86.9,73,6,661,4238,20877,119,113,65,153,115,75.2,230,139,86,104,40,23,109,137,7,111,55.5,21,0,126,85,1,0,663,0,0,,0,,"MF,DF",Arsenal,0,0,0,0,0,0,0,0,0,,372233.0,84.80461766,Thomas Partey,Thomas Partey,100.0,Arsenal,3,1121
225,Arsenal,Gabriel Magalhães,https://en.wikipedia.org/wiki/Gabriel_Magalh%C3%A3es,,874,Gabriel Magalhães,2024-2025,153,13320,150,3,17,1,17,0,127,40,31.5,10.4,0,8362,88.6,30,2,550,6852,33320,66,62,20,22,17,77.3,190,115,118,61,11,130,113,477,12,331,57.9,24,2,122,152,3,1,665,0,0,,0,,DF,Arsenal,0,0,0,0,1,0,0,0,0,,495757.0,80.40425592,Gabriel Magalhães,Gabriel Magalhães,100.0,Arsenal,4,873
314,Arsenal,Bukayo Saka,https://en.wikipedia.org/wiki/Bukayo_Saka,,1260,Bukayo Saka,2024-2025,186,14660,173,13,52,45,41,11,402,130,32.3,16.5,2,5000,74.7,335,53,557,5417,34415,698,360,259,600,264,44.0,252,140,92,87,73,9,90,116,1,90,29.4,26,0,186,317,62,1,681,0,0,,0,,"FW,MF",Arsenal,0,0,0,0,1,0,0,0,0,,2105898.0,29.4343872,Bukayo Saka,Bukayo Saka,100.0,Arsenal,5,1259
281,Arsenal,Martin Ødegaard ,https://en.wikipedia.org/wiki/Martin_%C3%98degaard,,1113,Martin Ødegaard,2024-2025,137,11069,127,10,32,26,29,3,257,82,31.9,19.9,27,5580,83.2,307,27,1033,4942,26241,286,166,190,259,138,53.3,157,71,43,71,43,7,36,35,2,38,36.2,11,0,93,105,8,0,584,0,0,,0,,MF,Arsenal,0,0,0,0,2,0,0,0,0,,1001717.0,64.69503791,Martin Ødegaard,Martin Ødegaard ,96.7741935483871,Arsenal,6,1112
178,Arsenal,Gabriel Jesus,https://en.wikipedia.org/wiki/Gabriel_Jesus,,699,Gabriel Jesus,2024-2025,229,13474,146,83,76,40,72,4,489,203,41.5,12.1,0,3689,81.7,207,10,328,4039,20771,320,410,269,484,273,56.4,152,101,53,42,57,8,83,64,1,184,32.9,31,0,215,252,124,0,505,0,0,,0,,"FW,MF","Arsenal,Manchester City",0,0,0,0,0,0,0,0,4,,595739.0,77.34339091,Gabriel Jesus,Gabriel Jesus,100.0,Arsenal,7,698
232,Arsenal,Gabriel Martinelli,https://en.wikipedia.org/wiki/Gabriel_Martinelli,,904,Gabriel Martinelli,2024-2025,149,9288,107,42,38,18,37,1,246,91,37.0,14.8,2,2493,74.0,173,33,242,3145,22632,458,277,176,466,190,40.8,131,90,47,51,33,4,47,63,1,73,26.6,9,1,114,109,35,0,394,0,0,,0,,"FW,MF",Arsenal,0,0,0,0,0,0,0,0,0,,503358.0,80.20562511,Gabriel Martinelli,Gabriel Martinelli,100.0,Arsenal,8,903
358,Arsenal,Jurriën Timber,https://en.wikipedia.org/wiki/Jurri%C3%ABn_Timber,,1420,Jurriën Timber,2024-2025,22,1736,20,2,1,1,1,0,11,3,27.3,16.3,0,843,85.6,14,2,92,641,2812,32,18,16,39,18,46.2,38,24,8,22,8,4,13,31,1,12,41.4,8,0,25,18,6,0,73,0,0,,0,,DF,Arsenal,0,0,0,0,0,0,0,0,0,,441775.0,85.66959292,Jurriën Timber,Jurriën Timber,100.0,Arsenal,9,1419
