,Unnamed: 0,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team_df1,MVP,ROY,DPOY,All_NBA,Champ,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index,Team_Pageviews
0,24,Atlanta Hawks,Dominick Barlow,https://en.wikipedia.org/wiki/Dominick_Barlow,37369.0,37,Dominick Barlow,2024-25,68,1,0,858,104,206,100,191,4,15,48,69,91,128,219,61,23,33,24,105,260,0.505,0.524,0.267,0.696,0.55,0.515,F,"ATL,SAS",0,0,0,0,0,17017.0,Dominick Barlow,Dominick Barlow,100.0,Atlanta Hawks,0,36,460240
1,60,Atlanta Hawks,Kobe Bufkin,https://en.wikipedia.org/wiki/Kobe_Bufkin,61452.0,107,Kobe Bufkin,2024-25,27,0,0,320,52,139,39,80,13,59,17,26,11,43,54,44,10,7,18,29,134,0.374,0.488,0.22,0.654,0.445,0.421,G,ATL,0,0,0,0,0,45143.0,Kobe Bufkin,Kobe Bufkin,100.0,Atlanta Hawks,1,106,460240
2,69,Atlanta Hawks,Clint Capela,https://en.wikipedia.org/wiki/Clint_Capela,130402.0,124,Clint Capela,2024-25,650,587,0,17161,3423,5539,3423,5534,0,5,1001,1841,2386,4497,6883,665,441,938,695,1535,7847,0.618,0.619,0.0,0.544,0.618,0.618,C,"ATL,HOU",0,0,0,0,0,618403.0,Clint Capela,Clint Capela,100.0,Atlanta Hawks,2,123,460240
3,106,Atlanta Hawks,Dyson Daniels,https://en.wikipedia.org/wiki/Dyson_Daniels,301712.0,183,Dyson Daniels,2024-25,157,64,0,3643,434,971,321,611,113,360,90,146,159,449,608,430,241,66,183,290,1071,0.447,0.525,0.314,0.616,0.517,0.505,G,"ATL,NOP",0,0,0,0,0,131450.0,Dyson Daniels,Dyson Daniels,100.0,Atlanta Hawks,3,182,460240
4,172,Atlanta Hawks,Mouhamed Gueye,https://en.wikipedia.org/wiki/Mouhamed_Gueye,37505.0,300,Mouhamadou Gueye,2023-24,11,0,0,120,11,38,11,35,0,3,4,9,12,11,23,5,3,18,12,15,26,0.289,0.314,0.0,0.444,0.31,0.289,F,TOR,0,0,0,0,0,0.0,Mouhamadou Gueye,Mouhamed Gueye,86.66666666666667,Atlanta Hawks,4,299,460240
5,231,Atlanta Hawks,Jalen Johnson,https://en.wikipedia.org/wiki/Jalen_Johnson,186152.0,401,Jalen Johnson,2024-25,181,91,0,4252,797,1572,649,1120,148,452,250,352,187,946,1133,461,157,118,251,319,1992,0.507,0.579,0.327,0.71,0.577,0.554,F,ATL,0,0,0,0,0,155236.0,Jalen Johnson,Jalen Johnson,100.0,Atlanta Hawks,5,400,460240
6,275,Atlanta Hawks,Caris LeVert,https://en.wikipedia.org/wiki/Caris_LeVert,121715.0,464,Caris LeVert,2024-25,495,222,0,13799,2543,5837,1812,3726,731,2111,1059,1437,348,1532,1880,2022,522,184,889,980,6876,0.436,0.486,0.346,0.737,0.531,0.498,G-F,"ATL,BRK,CLE,IND",0,0,0,0,0,236428.0,Caris LeVert,Caris LeVert,100.0,Atlanta Hawks,7,463,460240
7,288,Atlanta Hawks,Terance Mann,https://en.wikipedia.org/wiki/Terance_Mann,102410.0,486,Terance Mann,2024-25,373,167,0,8240,1145,2286,853,1508,292,778,413,524,359,974,1333,713,205,82,287,697,2995,0.501,0.566,0.375,0.788,0.595,0.565,G-F,"ATL,LAC",0,0,0,0,0,158640.0,Terance Mann,Terance Mann,100.0,Atlanta Hawks,8,485,460240
8,296,Atlanta Hawks,Garrison Mathews,https://en.wikipedia.org/wiki/Garrison_Mathews,39986.0,498,Garrison Mathews,2024-25,299,64,0,5261,561,1374,113,209,448,1165,391,465,93,428,521,211,160,55,119,540,1961,0.408,0.541,0.385,0.841,0.621,0.571,G,"ATL,HOU,WAS",0,0,0,0,0,15157.0,Garrison Mathews,Garrison Mathews,100.0,Atlanta Hawks,9,497,460240
9,341,Atlanta Hawks,Larry Nance Jr.,https://en.wikipedia.org/wiki/Larry_Nance_Jr.,173930.0,567,Larry Nance Jr.,2024-25,537,136,0,12415,1702,3143,1469,2487,233,656,507,726,998,2304,3302,1003,617,266,499,1138,4144,0.542,0.591,0.355,0.698,0.598,0.579,F-C,"ATL,CLE,LAL,NOP,POR",0,0,0,0,0,416000.0,Larry Nance Jr.,Larry Nance Jr.,100.0,Atlanta Hawks,10,566,460240
10,255,Atlanta Hawks,Georges Niang,https://en.wikipedia.org/wiki/Georges_Niang,223704.0,433,George King,2021-22,5,0,0,25,0,5,0,1,0,4,1,2,0,6,6,0,0,0,1,4,1,0.0,0.0,0.0,0.5,0.085,0.0,G-F,"DAL,PHO",0,0,0,0,0,0.0,George King,Georges Niang,83.33333333333334,Atlanta Hawks,11,432,460240
11,351,Atlanta Hawks,Onyeka Okongwu,https://en.wikipedia.org/wiki/Onyeka_Okongwu,110792.0,590,Onyeka Okongwu,2024-25,267,36,0,5663,946,1518,905,1379,41,139,429,569,634,1021,1655,286,159,291,226,735,2362,0.623,0.656,0.295,0.754,0.668,0.637,F,ATL,0,0,0,0,0,164965.0,Onyeka Okongwu,Onyeka Okongwu,100.0,Atlanta Hawks,12,589,460240
12,362,Atlanta Hawks,Daeqwon Plowden,https://en.wikipedia.org/wiki/Daeqwon_Plowden,27748.0,619,Daeqwon Plowden,2024-25,1,0,0,25,7,8,2,2,5,6,0,0,3,1,4,0,0,0,1,4,19,0.875,1.0,0.833,,1.188,1.188,G,ATL,0,0,0,0,0,0.0,Daeqwon Plowden,Daeqwon Plowden,100.0,Atlanta Hawks,13,618,460240
13,392,Atlanta Hawks,Zaccharie Risacher,https://en.wikipedia.org/wiki/Zaccharie_Risacher,747756.0,662,Zaccharie Risacher,2024-25,39,37,0,926,154,382,109,222,45,160,57,80,50,85,135,45,30,21,47,82,410,0.403,0.491,0.281,0.713,0.491,0.462,F,ATL,0,0,0,0,0,108829.0,Zaccharie Risacher,Zaccharie Risacher,100.0,Atlanta Hawks,14,661,460240
14,453,Atlanta Hawks,Jacob Toppin,https://en.wikipedia.org/wiki/Jacob_Toppin,197531.0,768,Jacob Toppin,2024-25,22,0,0,78,8,18,7,12,1,6,2,2,5,11,16,7,1,1,3,5,19,0.444,0.583,0.167,1.0,0.503,0.472,F,NYK,0,0,0,0,0,60304.0,Jacob Toppin,Jacob Toppin,100.0,Atlanta Hawks,15,767,460240
15,478,Atlanta Hawks,Keaton Wallace,https://en.wikipedia.org/wiki/Keaton_Wallace,28586.0,802,Keaton Wallace,2024-25,17,2,0,286,39,89,22,45,17,44,7,7,3,25,28,36,17,6,18,18,102,0.438,0.489,0.386,1.0,0.554,0.534,G,ATL,0,0,0,0,0,7403.0,Keaton Wallace,Keaton Wallace,100.0,Atlanta Hawks,16,801,460240
