,Team_df2_x,Player_df2_x,Wikipedia_Link,Pageviews,ID,Player_df1_x,Until,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,Team_df1,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,IG,Player_df1_y,Player_df2_y,Match Score,Team_df2_y,df2_index,df1_index
1371,Arizona Cardinals,Kyler Murray,https://en.wikipedia.org/wiki/Kyler_Murray,845475.0,1696,Kyler Murray,2024,82,82,1864,2780,67.1,19498,115,57,92.4,179,36.0,13,503,3020,6.0,31,36.8,0,0,7,,0,0.1,0,,2,0,190,1608.6,0.0,0,0,0,0,0,0,0,50,28,0,0,0,,0,2998,0,QB,ARI,0,0,0,1,0,0,0,,Kyler Murray,Kyler Murray,100.0,Arizona Cardinals,0,1695
1948,Arizona Cardinals,Clayton Tune,https://en.wikipedia.org/wiki/Clayton_Tune,56850.0,2413,Clayton Tune,2024,13,1,14,23,60.9,70,0,2,29.3,7,0.0,0,15,26,1.7,1,2.0,0,0,0,,0,0.0,0,,1,0,8,5.4,0.0,0,0,0,0,0,0,0,3,0,0,0,0,,0,21,0,QB,ARI,0,0,0,0,0,0,0,,Clayton Tune,Clayton Tune,100.0,Arizona Cardinals,1,2412
154,Arizona Cardinals,Trey Benson,https://en.wikipedia.org/wiki/Trey_Benson,110208.0,187,Trey Benson,2024,13,1,0,0,,0,0,0,,0,,0,63,291,4.6,1,22.4,6,6,59,9.8,0,4.5,0,,0,0,6,41.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,350,0,RB,ARI,0,0,0,0,0,0,0,,Trey Benson,Trey Benson,100.0,Arizona Cardinals,2,186
324,Arizona Cardinals,Michael Carter,https://en.wikipedia.org/wiki/Michael_Carter_(running_back),50197.0,384,Michael Carter,2024,48,22,0,0,,0,0,0,,0,,0,326,1359,4.2,8,28.3,151,112,771,6.9,1,16.1,0,,0,0,54,263.0,0.0,1,0,0,0,0,0,0,3,0,0,0,0,,0,2130,0,RB,"ARI,NYJ",0,0,0,0,0,0,0,,Michael Carter,Michael Carter,100.0,Arizona Cardinals,3,383
377,Arizona Cardinals,James Conner,https://en.wikipedia.org/wiki/James_Conner_(American_football),198361.0,460,James Conner,2024,107,81,0,0,,0,0,0,,0,,0,1361,5970,4.4,59,55.8,338,281,2217,7.9,11,20.7,0,,4,0,428,1236.7,0.0,2,0,0,0,0,0,0,16,11,0,1,0,,0,8187,0,RB,"ARI,PIT",0,0,0,0,0,0,0,,James Conner,James Conner,100.0,Arizona Cardinals,4,459
416,Arizona Cardinals,DeeJay Dallas,https://en.wikipedia.org/wiki/DeeJay_Dallas,37810.0,509,DeeJay Dallas,2024,78,2,0,1,0.0,0,0,1,0.0,1,,0,121,517,4.3,4,6.6,74,64,407,6.4,2,5.2,0,,0,0,42,128.4,0.0,16,14,0,0,0,0,0,5,2,0,2,0,,0,3271,2300,RB,"ARI,SEA",0,0,0,0,0,0,0,,DeeJay Dallas,DeeJay Dallas,100.0,Arizona Cardinals,5,508
464,Arizona Cardinals,Emari Demercado,https://en.wikipedia.org/wiki/Emari_Demercado,25952.0,569,Emari Demercado,2024,27,2,0,0,,0,0,0,,0,,0,82,507,6.2,3,18.8,50,37,223,6.0,0,8.3,0,,0,0,18,91.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0,794,64,RB,ARI,0,0,0,0,0,0,0,,Emari Demercado,Emari Demercado,100.0,Arizona Cardinals,6,568
1092,Arizona Cardinals,Zonovan Knight,https://en.wikipedia.org/wiki/Zonovan_Knight,20705.0,1360,Zonovan Knight,2023,9,4,0,0,,0,0,0,,0,,0,88,313,3.6,1,34.8,15,14,108,7.7,0,12.0,0,,0,0,6,48.1,0.0,0,0,0,0,0,0,0,2,1,0,0,0,,0,461,40,RB,"DET,NYJ",0,0,0,0,0,0,0,,Zonovan Knight,Zonovan Knight,100.0,Arizona Cardinals,7,1359
87,Arizona Cardinals,Andre Baccellia,https://en.wikipedia.org/wiki/Andre_Baccellia,6299.0,106,Andre Baccellia,2023,13,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,10,7,45,6.4,0,3.5,0,,0,0,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,67,22,WR,ARI,0,0,0,0,0,0,0,,Andre Baccellia,Andre Baccellia,100.0,Arizona Cardinals,8,105
776,Arizona Cardinals,Marvin Harrison Jr.,https://en.wikipedia.org/wiki/Marvin_Harrison_Jr.,638737.0,961,Marvin Harrison Jr.,2024,17,16,0,0,,0,0,0,,0,,0,0,0,,0,0.0,116,62,885,14.3,8,52.1,0,,0,0,48,134.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,885,0,WR,ARI,0,0,0,0,0,0,0,,Marvin Harrison Jr.,Marvin Harrison Jr.,100.0,Arizona Cardinals,9,960
934,Arizona Cardinals,Trishton Jackson,https://en.wikipedia.org/wiki/Trishton_Jackson,22689.0,1167,Trishton Jackson,2024,9,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,4,2,9,4.5,0,1.0,0,,1,0,2,2.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,0,WR,MIN,0,0,0,0,0,0,0,,Trishton Jackson,Trishton Jackson,100.0,Arizona Cardinals,10,1166
2029,Arizona Cardinals,Quez Watkins,https://en.wikipedia.org/wiki/Quez_Watkins,63025.0,2514,Quez Watkins,2023,49,25,0,0,,0,0,0,,0,,0,4,4,1.0,0,0.1,147,98,1249,12.7,6,25.5,0,,1,0,38,161.3,0.0,4,1,0,0,0,0,0,1,0,0,0,0,,0,1453,200,WR,PHI,0,0,0,0,0,0,0,,Quez Watkins,Quez Watkins,100.0,Arizona Cardinals,12,2513
2044,Arizona Cardinals,Xavier Weaver,https://en.wikipedia.org/wiki/Xavier_Weaver,48193.0,2530,Xavier Weaver,2024,2,0,0,0,,0,0,0,,0,,0,0,0,,0,0.0,2,0,0,,0,0.0,0,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,WR,ARI,0,0,0,0,0,0,0,,Xavier Weaver,Xavier Weaver,100.0,Arizona Cardinals,13,2529
