,Team,Player,Pageviews
0,Atlanta Hawks,Dominick Barlow,37369
1,Atlanta Hawks,Kobe Bufkin,61452
2,Atlanta Hawks,Clint Capela,130402
3,Atlanta Hawks,Dyson Daniels,301712
4,Atlanta Hawks,Mouhamed Gueye,37505
5,Atlanta Hawks,Jalen Johnson,186152
6,Atlanta Hawks,Vít Krejčí,53508
7,Atlanta Hawks,Caris LeVert,121715
8,Atlanta Hawks,Terance Mann,102410
9,Atlanta Hawks,Garrison Mathews,39986
10,Atlanta Hawks,Larry Jr. Nance,173930
11,Atlanta Hawks,Georges Niang,223704
12,Atlanta Hawks,Onyeka Okongwu,110792
13,Atlanta Hawks,Daeqwon Plowden,27748
14,Atlanta Hawks,Zaccharie Risacher,747756
15,Atlanta Hawks,Keaton Wallace,28586
16,Atlanta Hawks,Trae Young,640276
17,Boston Celtics,Jaylen Brown,1920374
18,Boston Celtics,Torrey Craig,107679
19,Boston Celtics,JD Davison,79655
20,Boston Celtics,Sam Hauser,249726
21,Boston Celtics,Jrue Holiday,1420294
22,Boston Celtics,Al Horford,1187414
23,Boston Celtics,Luke Kornet,227690
24,Boston Celtics,Drew Peterson,88362
25,Boston Celtics,Kristaps Porziņģis,1232667
26,Boston Celtics,Payton Pritchard,539468
27,Boston Celtics,Neemias Queta,201086
28,Boston Celtics,Baylor Scheierman,137343
29,Boston Celtics,Jayson Tatum,2805655
30,Boston Celtics,Xavier Tillman,176181
31,Boston Celtics,Jordan Walsh,161658
32,Boston Celtics,Anton Watson,59082
33,Boston Celtics,Derrick White,165415
34,Brooklyn Nets,Reece Beekman,45226
35,Brooklyn Nets,Bojan Bogdanović,344574
36,Brooklyn Nets,Nic Claxton,98006
37,Brooklyn Nets,Noah Clowney,51379
38,Brooklyn Nets,Tosan Evbuomwan,48730
39,Brooklyn Nets,Cameron Johnson,135504
40,Brooklyn Nets,Keon Johnson,58927
41,Brooklyn Nets,Maxwell Lewis,61353
42,Brooklyn Nets,Tyrese Martin,42112
43,Brooklyn Nets,De'Anthony Melton,170949
44,Brooklyn Nets,D'Angelo Russell,728815
45,Brooklyn Nets,Day'Ron Sharpe,48059
46,Brooklyn Nets,Cam Thomas,206770
47,Brooklyn Nets,Trendon Watford,32633
48,Brooklyn Nets,Dariq Whitehead,64578
49,Brooklyn Nets,Ziaire Williams,146005
50,Brooklyn Nets,Jalen Wilson,65189
51,Charlotte Hornets,LaMelo Ball,1132946
52,Charlotte Hornets,Damion Baugh,5407
53,Charlotte Hornets,Miles Bridges,300167
54,Charlotte Hornets,Seth Curry,765713
55,Charlotte Hornets,Moussa Diabaté,60595
56,Charlotte Hornets,Taj Gibson,221248
57,Charlotte Hornets,Josh Green,230544
58,Charlotte Hornets,DaQuan Jeffries,34700
59,Charlotte Hornets,Tre Mann,156476
60,Charlotte Hornets,Brandon Miller,271759
61,Charlotte Hornets,Wendell Jr. Moore,64183
62,Charlotte Hornets,Jusuf Nurkić,226532
63,Charlotte Hornets,Josh Okogie,68533
64,Charlotte Hornets,Elfrid Payton,153086
65,Charlotte Hornets,Tidjane Salaün,155365
66,Charlotte Hornets,KJ Simpson,29274
67,Charlotte Hornets,Nick Jr. Smith,49186
68,Charlotte Hornets,Grant Williams,334842
69,Charlotte Hornets,Mark Williams,63660
70,Chicago Bulls,Lonzo Ball,929933
71,Chicago Bulls,Matas Buzelis,402516
72,Chicago Bulls,Jevon Carter,59577
73,Chicago Bulls,Zach Collins,86069
74,Chicago Bulls,Ayo Dosunmu,108631
75,Chicago Bulls,Josh Giddey,885430
76,Chicago Bulls,Talen Horton-Tucker,139493
77,Chicago Bulls,Kevin Huerter,90581
78,Chicago Bulls,Tre Jones,98886
79,Chicago Bulls,E. J. Liddell,52855
80,Chicago Bulls,Emanuel Miller,13901
81,Chicago Bulls,Julian Phillips,51496
82,Chicago Bulls,Adama Sanogo,122317
83,Chicago Bulls,Jalen Smith,140357
84,Chicago Bulls,Dalen Terry,44763
85,Chicago Bulls,Nikola Vučević,219835
86,Chicago Bulls,Coby White,237802
87,Chicago Bulls,Patrick Williams,108320
88,Cleveland Cavaliers,Jarrett Allen,198404
89,Cleveland Cavaliers,Emoni Bates,166982
90,Cleveland Cavaliers,Darius Garland,270265
91,Cleveland Cavaliers,De'Andre Hunter,117928
92,Cleveland Cavaliers,Ty Jerome,171471
93,Cleveland Cavaliers,Sam Merrill,123215
94,Cleveland Cavaliers,Donovan Mitchell,794537
95,Cleveland Cavaliers,Evan Mobley,264940
96,Cleveland Cavaliers,Isaac Okoro,107930
97,Cleveland Cavaliers,Craig Jr. Porter,54629
98,Cleveland Cavaliers,Max Strus,229007
99,Cleveland Cavaliers,Tristan Thompson,807390
100,Cleveland Cavaliers,JT Thor,153500
101,Cleveland Cavaliers,Luke Travers,44611
102,Cleveland Cavaliers,Jaylon Tyson,69502
103,Cleveland Cavaliers,Dean Wade,98258
104,Dallas Mavericks,Max Christie,802
105,Dallas Mavericks,Anthony Davis,1149289
106,Dallas Mavericks,Spencer Dinwiddie,419818
107,Dallas Mavericks,Kessler Edwards,48196
108,Dallas Mavericks,Danté Exum,99902
109,Dallas Mavericks,Daniel Gafford,405184
110,Dallas Mavericks,Jaden Hardy,107406
111,Dallas Mavericks,Kyrie Irving,2957736
112,Dallas Mavericks,Kylor Kelley,23733
113,Dallas Mavericks,Dereck II Lively,603409
114,Dallas Mavericks,Naji Marshall,121420
115,Dallas Mavericks,Caleb Martin,201623
116,Dallas Mavericks,Dwight Powell,152150
117,Dallas Mavericks,Olivier-Maxence Prosper,76327
118,Dallas Mavericks,Klay Thompson,1706759
119,Dallas Mavericks,P. J. Washington,590601
120,Dallas Mavericks,Brandon Williams,33767
121,Denver Nuggets,Trey Alexander,39449
122,Denver Nuggets,Christian Braun,296789
123,Denver Nuggets,Vlatko Čančar,57646
124,Denver Nuggets,Aaron Gordon,574510
125,Denver Nuggets,PJ Hall,59759
126,Denver Nuggets,DaRon II Holmes,86092
127,Denver Nuggets,Nikola Jokić,3156198
128,Denver Nuggets,Spencer Jones,7516
129,Denver Nuggets,DeAndre Jordan,398669
130,Denver Nuggets,Jamal Murray,721924
131,Denver Nuggets,Zeke Nnaji,56689
132,Denver Nuggets,Jalen Pickett,40513
133,Denver Nuggets,Michael Jr. Porter,713130
134,Denver Nuggets,Dario Šarić,191527
135,Denver Nuggets,Julian Strawther,70514
136,Denver Nuggets,Hunter Tyson,45422
137,Denver Nuggets,Peyton Watson,131709
138,Denver Nuggets,Russell Westbrook,1529687
139,Detroit Pistons,Malik Beasley,207307
140,Detroit Pistons,Cade Cunningham,377350
141,Detroit Pistons,Jalen Duren,165916
142,Detroit Pistons,Simone Fontecchio,106579
143,Detroit Pistons,Tim Jr. Hardaway,322357
144,Detroit Pistons,Ron Jr. Harper,121037
145,Detroit Pistons,Tobias Harris,356689
146,Detroit Pistons,Ron Holland,219555
147,Detroit Pistons,Jaden Ivey,191353
148,Detroit Pistons,Daniss Jenkins,7354
149,Detroit Pistons,Bobi Klintman,88835
150,Detroit Pistons,Paul Reed,92866
151,Detroit Pistons,Marcus Sasser,60534
152,Detroit Pistons,Dennis Schröder,733735
153,Detroit Pistons,Tolu Smith,3133
154,Detroit Pistons,Isaiah Stewart,142934
155,Detroit Pistons,Ausar Thompson,178754
156,Detroit Pistons,Lindy III Waters,257801
157,Golden State Warriors,Jimmy Butler,1205216
158,Golden State Warriors,Stephen Curry,4915516
159,Golden State Warriors,Draymond Green,885688
160,Golden State Warriors,Buddy Hield,628306
161,Golden State Warriors,Trayce Jackson-Davis,267835
162,Golden State Warriors,Jonathan Kuminga,433191
163,Golden State Warriors,Kevon Looney,253437
164,Golden State Warriors,Moses Moody,107797
165,Golden State Warriors,Gary II Payton,208138
166,Golden State Warriors,Brandin Podziemski,424726
167,Golden State Warriors,Quinten Post,118066
168,Golden State Warriors,Jackson Rowe,4982
169,Golden State Warriors,Gui Santos,106515
170,Golden State Warriors,Pat Spencer,218111
171,Houston Rockets,Steven Adams,512197
172,Houston Rockets,Dillon Brooks,293911
173,Houston Rockets,N'Faly Dante,48032
174,Houston Rockets,Tari Eason,79999
175,Houston Rockets,Jalen Green,685326
176,Houston Rockets,Jeff Green,222699
177,Houston Rockets,Aaron Holiday,158667
