Team,Pageviews
Atlanta Hawks,460240
Boston Celtics,1932688
Brooklyn Nets,639148
Charlotte Hornets,757776
Chicago Bulls,894908
Cleveland Cavaliers,616854
Dallas Mavericks,1253803
Denver Nuggets,721588
Detroit Pistons,659926
Golden State Warriors,1411582
Houston Rockets,513888
Indiana Pacers,536387
Los Angeles Clippers,1034619
Los Angeles Lakers,1860939
Memphis Grizzlies,473977
Miami Heat,663944
Milwaukee Bucks,657856
Minnesota Timberwolves,787192
New Orleans Pelicans,508794
New York Knicks,1000500
Oklahoma City Thunder,657866
Orlando Magic,479654
Philadelphia 76ers,682002
Phoenix Suns,505170
Portland Trail Blazers,393308
Sacramento Kings,639156
San Antonio Spurs,644137
Toronto Raptors,602418
Utah Jazz,494784
Washington Wizards,551729
