,Team,Pageviews,G,GS,Cmp,PaAtt,Cmp%,PaYds,PaTD,IntO,Rate,SkO,QBWin,GWD,RuAtt,RuYds,RuY/A,RuTD,RuY/G,Tgt,Rec,RecYds,Y/Rec,RecTD,RecY/G,FG,FG%,2PM,Sfty,Pts,FantPts,SkD,Solo,Ast,TFL,QBHit,IntD,Pick6,PaDef,Fmb,FR,Scoop6,FF,PntYds,Y/Pnt,Blck,APYd,RetYds,Pos,MVP,OPOY,DPOY,OROY,DROY,AP1,SB,Player,Obscurity_Score,Obscurity_Score_Scaled
0,Arizona Cardinals,845475.0,82,82,1864,2780,67.1,19498,115,57,92.4,179,36.0,13,503,3020,6.0,31,36.8,0,0,7,0.0,0,0.1,0,0.0,2,0,190,1608.6,0.0,0,0,0,0,0,0,0,50,28,0,0,0,0.0,0,2998,0,QB,0,0,0,1,0,0,0,Kyler Murray,86.82499391997399,38.767680568141934
1,Arizona Cardinals,56850.0,13,1,14,23,60.9,70,0,2,29.3,7,0.0,0,15,26,1.7,1,2.0,0,0,0,0.0,0,0.0,0,0.0,1,0,8,5.4,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,21,0,QB,0,0,0,0,0,0,0,Clayton Tune,98.71195348354793,147.47633320470604
2,Arizona Cardinals,110208.0,13,1,0,0,0.0,0,0,0,0.0,0,0.0,0,63,291,4.6,1,22.4,6,6,59,9.8,0,4.5,0,0.0,0,0,6,41.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,350,0,RB,0,0,0,0,0,0,0,Trey Benson,98.10139366262875,138.2170289044738
3,Arizona Cardinals,50197.0,48,22,0,0,0.0,0,0,0,0.0,0,0.0,0,326,1359,4.2,8,28.3,151,112,771,6.9,1,16.1,0,0.0,0,0,54,263.0,0.0,1,0,0,0,0,0,0,3,0,0,0,0,0.0,0,2130,0,RB,0,0,0,0,0,0,0,Michael Carter,98.64885065145444,146.49295601640065
4,Arizona Cardinals,198361.0,107,81,0,0,0.0,0,0,0,0.0,0,0.0,0,1361,5970,4.4,59,55.8,338,281,2217,7.9,11,20.7,0,0.0,4,0,428,1236.7,0.0,2,0,0,0,0,0,0,16,11,0,1,0,0.0,0,8187,0,RB,0,0,0,0,0,0,0,James Conner,95.9672133684346,109.95284799495758
5,Arizona Cardinals,37810.0,78,2,0,1,0.0,0,0,1,0.0,1,0.0,0,121,517,4.3,4,6.6,74,64,407,6.4,2,5.2,0,0.0,0,0,42,128.4,0.0,16,14,0,0,0,0,0,5,2,0,2,0,0.0,0,3271,2300,RB,0,0,0,0,0,0,0,DeeJay Dallas,98.94007727778671,151.08356846190313
6,Arizona Cardinals,25952.0,27,2,0,0,0.0,0,0,0,0.0,0,0.0,0,82,507,6.2,3,18.8,50,37,223,6.0,0,8.3,0,0.0,0,0,18,91.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,794,64,RB,0,0,0,0,0,0,0,Emari Demercado,99.13833217483715,154.28603201245176
7,Arizona Cardinals,20705.0,9,4,0,0,0.0,0,0,0,0.0,0,0.0,0,88,313,3.6,1,34.8,15,14,108,7.7,0,12.0,0,0.0,0,0,6,48.1,0.0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0,461,40,RB,0,0,0,0,0,0,0,Zonovan Knight,99.21817799432745,155.59384418729547
8,Arizona Cardinals,6299.0,13,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,10,7,45,6.4,0,3.5,0,0.0,0,0,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,67,22,WR,0,0,0,0,0,0,0,Andre Baccellia,99.5288243251466,160.7825035464026
9,Arizona Cardinals,638737.0,17,16,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,116,62,885,14.3,8,52.1,0,0.0,0,0,48,134.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,885,0,WR,0,0,0,0,0,0,0,Marvin Harrison Jr.,91.2144231706,65.00992266735426
