Unnamed: 0,Team,Pageviews,G,GS,All_Star,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MVP,ROY,DPOY,All_NBA,Champ,IG,Player,Team_Pageviews,MP_PerGame,FG_PerGame,FGA_PerGame,2P_PerGame,2PA_PerGame,3P_PerGame,3PA_PerGame,FT_PerGame,FTA_PerGame,ORB_PerGame,DRB_PerGame,TRB_PerGame,AST_PerGame,STL_PerGame,BLK_PerGame,TOV_PerGame,PF_PerGame,PTS_PerGame,Obscurity_Score,Obscurity_Score_Scaled,visibility_score,performance_score,obscurity_score,obscurity_score_normalized,obscurity_score_scaled
0,Atlanta Hawks,37369.0,68,1,0,858,104,206,100,191,4,15,48,69,91,128,219,61,23,33,24,105,260,0.505,0.524,0.267,0.696,0.55,0.515,0,0,0,0,0,17017.0,Dominick Barlow,460240,12.617647058823527,1.5294117647058822,3.0294117647058822,1.4705882352941178,2.8088235294117645,0.0588235294117647,0.2205882352941176,0.7058823529411765,1.0147058823529411,1.338235294117647,1.8823529411764703,3.2205882352941178,0.8970588235294118,0.3382352941176471,0.4852941176470588,0.3529411764705882,1.5441176470588236,3.823529411764706,97.88664002592029,135.09231615782372,0.037972880504605316,0.12110523420603182,11.65,39.81,19.91
1,Atlanta Hawks,61452.0,27,0,0,320,52,139,39,80,13,59,17,26,11,43,54,44,10,7,18,29,134,0.374,0.488,0.22,0.654,0.445,0.421,0,0,0,0,0,45143.0,Kobe Bufkin,460240,11.851851851851851,1.9259259259259256,5.148148148148148,1.4444444444444444,2.962962962962963,0.4814814814814814,2.185185185185185,0.6296296296296297,0.9629629629629628,0.4074074074074074,1.5925925925925926,2.0,1.6296296296296295,0.3703703703703703,0.2592592592592592,0.6666666666666666,1.0740740740740742,4.962962962962963,97.5338615513551,130.1027587767971,0.03944614355390033,0.1266586463405169,12.17,40.99,20.49
2,Atlanta Hawks,130402.0,650,587,0,17161,3423,5539,3423,5534,0,5,1001,1841,2386,4497,6883,665,441,938,695,1535,7847,0.618,0.619,0.0,0.544,0.618,0.618,0,0,0,0,0,618403.0,Clint Capela,460240,26.40153846153846,5.266153846153846,8.521538461538462,5.266153846153846,8.513846153846155,0.0,0.0076923076923076,1.54,2.832307692307692,3.670769230769231,6.918461538461538,10.589230769230769,1.023076923076923,0.6784615384615384,1.4430769230769231,1.0692307692307692,2.3615384615384616,12.072307692307692,92.29526748359528,73.44078443765814,0.0442811999555955,0.32869239221494273,31.41,66.68,33.34
3,Atlanta Hawks,301712.0,157,64,0,3643,434,971,321,611,113,360,90,146,159,449,608,430,241,66,183,290,1071,0.447,0.525,0.314,0.616,0.517,0.505,0,0,0,0,0,131450.0,Dyson Daniels,460240,23.203821656050955,2.764331210191082,6.1847133757961785,2.0445859872611467,3.8917197452229297,0.7197452229299363,2.2929936305732483,0.5732484076433121,0.929936305732484,1.0127388535031847,2.859872611464968,3.872611464968153,2.738853503184713,1.535031847133758,0.4203821656050955,1.1656050955414012,1.8471337579617837,6.821656050955414,95.03159119920336,99.34125970725316,0.05390058690317845,0.25037175897381436,23.69,57.22,28.61
4,Atlanta Hawks,37505.0,11,0,0,120,11,38,11,35,0,3,4,9,12,11,23,5,3,18,12,15,26,0.289,0.314,0.0,0.444,0.31,0.289,0,0,0,0,0,0.0,Mouhamadou Gueye,460240,10.909090909090908,1.0,3.4545454545454546,1.0,3.1818181818181817,0.0,0.2727272727272727,0.3636363636363636,0.8181818181818182,1.0909090909090908,1.0,2.090909090909091,0.4545454545454545,0.2727272727272727,1.6363636363636365,1.0909090909090908,1.3636363636363635,2.363636363636364,98.47862082838184,143.87088351906164,0.037959689891505714,0.11309023550276538,10.88,39.25,19.63
5,Atlanta Hawks,186152.0,181,91,0,4252,797,1572,649,1120,148,452,250,352,187,946,1133,461,157,118,251,319,1992,0.507,0.579,0.327,0.71,0.577,0.554,0,0,0,0,0,155236.0,Jalen Johnson,460240,23.49171270718232,4.403314917127072,8.685082872928177,3.585635359116022,6.187845303867404,0.8176795580110497,2.4972375690607733,1.3812154696132597,1.9447513812154693,1.033149171270718,5.226519337016574,6.259668508287293,2.546961325966851,0.8674033149171271,0.6519337016574586,1.3867403314917126,1.7624309392265194,11.005524861878452,94.5985372439341,94.7558619629567,0.04703008051209229,0.2856331073061783,27.22,61.82,30.91
6,Atlanta Hawks,121715.0,495,222,0,13799,2543,5837,1812,3726,731,2111,1059,1437,348,1532,1880,2022,522,184,889,980,6876,0.436,0.486,0.346,0.737,0.531,0.498,0,0,0,0,0,236428.0,Caris LeVert,460240,27.87676767676768,5.137373737373737,11.791919191919192,3.6606060606060606,7.527272727272727,1.4767676767676767,4.264646464646464,2.139393939393939,2.903030303030303,0.703030303030303,3.094949494949495,3.797979797979798,4.084848484848485,1.0545454545454545,0.3717171717171717,1.795959595959596,1.97979797979798,13.89090909090909,91.32932244217098,65.86349805624585,0.043284113221480965,0.31394517994087645,30.04,64.41,32.21
7,Atlanta Hawks,102410.0,373,167,0,8240,1145,2286,853,1508,292,778,413,524,359,974,1333,713,205,82,287,697,2995,0.501,0.566,0.375,0.788,0.595,0.565,0,0,0,0,0,158640.0,Terance Mann,460240,22.091152815013405,3.06970509383378,6.128686327077748,2.28686327077748,4.042895442359249,0.7828418230563002,2.0857908847184987,1.1072386058981234,1.4048257372654156,0.9624664879356568,2.611260053619303,3.57372654155496,1.911528150134048,0.5495978552278821,0.2198391420911528,0.7694369973190348,1.8686327077747988,8.029490616621985,94.99186393712245,98.91228570785982,0.042033958405875746,0.1863192561199646,17.85,50.04,25.02
8,Atlanta Hawks,39986.0,299,64,0,5261,561,1374,113,209,448,1165,391,465,93,428,521,211,160,55,119,540,1961,0.408,0.541,0.385,0.841,0.621,0.571,0,0,0,0,0,15157.0,Garrison Mathews,460240,17.59531772575251,1.8762541806020068,4.595317725752508,0.3779264214046823,0.6989966555183946,1.4983277591973243,3.8963210702341136,1.3076923076923077,1.5551839464882944,0.3110367892976589,1.431438127090301,1.7424749163879598,0.705685618729097,0.5351170568561873,0.1839464882943143,0.3979933110367893,1.806020066889632,6.558528428093646,96.4129322266012,115.36804037946357,0.03812681688187445,0.1244557222599715,11.97,40.72,20.36
9,Atlanta Hawks,173930.0,537,136,0,12415,1702,3143,1469,2487,233,656,507,726,998,2304,3302,1003,617,266,499,1138,4144,0.542,0.591,0.355,0.698,0.598,0.579,0,0,0,0,0,416000.0,Larry Nance Jr.,460240,23.119180633147117,3.169459962756052,5.852886405959032,2.735567970204842,4.631284916201118,0.4338919925512104,1.2216014897579144,0.9441340782122905,1.3519553072625698,1.8584729981378023,4.290502793296089,6.148975791433892,1.867783985102421,1.148975791433892,0.4953445065176908,0.9292364990689012,2.119180633147113,7.716945996275605,93.45533555346826,83.56322448967693,0.04662685346492768,0.2512173232195763,23.95,57.72,28.86
